domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,duplicate_canonical_identity_review,hard_risk,source_gap,quality_flags,canonical_url
786cosmetics.com,786 Cosmetics,ext_31b12b124fb01c2d35b98e38,786 Canvas Tote Bag,accessory_or_tool,hold_risk_review,true,false,false,true,19.99,USD,in_stock,586,true,false,false,false,true,false,accessory_or_tool,https://786cosmetics.com/products/786-tote-bag
786cosmetics.com,786 Cosmetics,ext_87a0af88b9bd23b8f2123d1b,Almond & Ginseng Cuticle Oil,beauty_formula,hold_risk_review,true,true,true,true,11.99,USD,in_stock,717,true,true,true,false,true,false,regulated_claim_review,https://786cosmetics.com/products/almond-ginseng-cuticle-oil
786cosmetics.com,786 Cosmetics,ext_c7f9b723f9c30146d9cb1fce,Blush & Bare 4-Piece Nail Polish Set,bundle_or_sample,hold_risk_review,true,true,true,true,54.99,USD,in_stock,536,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/blush-bare-4-piece-set
786cosmetics.com,786 Cosmetics,ext_c127c1d09e3be26e54f4a0a0,Gift Card,bundle_or_sample,hold_risk_review,true,false,false,false,10,USD,in_stock,256,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/gift-card
786cosmetics.com,786 Cosmetics,ext_86344711237a7b6cdad6cfa3,Golden Hour Collection - 6 Piece Nail Polish Set,bundle_or_sample,hold_risk_review,true,true,true,true,39.99,USD,in_stock,749,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/the-golden-hour-edit-6-piece-breathable-nail-polish-set
786cosmetics.com,786 Cosmetics,ext_9f7b485a72fece5e2dfc5176,Himalayas - Breathable Nail Polish,beauty_formula,hold_risk_review,true,true,true,true,13.99,USD,out_of_stock,647,true,true,true,false,true,false,regulated_claim_review,https://786cosmetics.com/products/himalayas-breathable-nail-polish
786cosmetics.com,786 Cosmetics,ext_ab32c65ee7badd0b4a614919,Marrakesh Nights Collection - 4 Piece Nail Polish Set,bundle_or_sample,hold_risk_review,true,true,true,true,54.99,USD,in_stock,361,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/marrakesh-nights-collection-4-piece-nail-polish-set
786cosmetics.com,786 Cosmetics,ext_9cd211269e8480e6a7475b5e,Muscat - Breathable Nail Polish,beauty_formula,hold_risk_review,true,true,true,true,13.99,USD,in_stock,296,true,true,true,false,true,false,regulated_claim_review,https://786cosmetics.com/products/muscat
786cosmetics.com,786 Cosmetics,ext_5c80fda1202cbae9f1252b1c,Nail Polish Set (Choose your Colors),bundle_or_sample,hold_risk_review,true,true,true,true,54.99,USD,out_of_stock,396,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/nail-polish-set
786cosmetics.com,786 Cosmetics,ext_2dcd32513f13fbec782bb9d2,Nail Polish Set 4 Piece (Choose Your Colors),bundle_or_sample,hold_risk_review,true,true,true,true,54.99,USD,in_stock,276,true,false,false,false,true,false,bundle_or_sample,https://786cosmetics.com/products/nail-polish-set-4-piece-nail-polish
