external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_exists,source_tier,live_read_enabled,identity_status,review_required,identity_confidence,sellable_item_group_id,product_line_id,seed_updated_at,identity_updated_at,seed_has_active_evidence,identity_payload_has_active_evidence,seed_expects_active_ingredients,identity_expects_active_ingredients,seed_updated_after_identity,identity_payload_stale,canonical_selection_gap,pdp_shaping_gap,audit_scope_mismatch,sig_mixed_active_expectation,canonical_content_ref,selected_commerce_ref,sync_candidate,changed,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed,blocker_reason
ext_edcf7e510314384ac432b385,external_seed:ext_edcf7e510314384ac432b385,lucamarskincare.com,US,Baa Ram Ewe Lanolin Skin Balm 50g,https://lucamarskincare.com/products/baa-ram-ewe-skin-balm-50-gms,https://agent.pivota.cc/products/sig_83e5dd4c102d5115bfd303c9,true,brand,false,approved,false,0.98,sig_83e5dd4c102d5115bfd303c9,pl_65f3a6f4242abbaf57068915,2026-05-25T09:09:06.481Z,2026-05-25T09:08:35.809Z,false,false,true,true,true,false,false,false,false,false,external_seed:ext_edcf7e510314384ac432b385,external_seed:ext_edcf7e510314384ac432b385,false,true,false,false,false,false,false,false,false,
ext_0836525e72365da8ecbcc3b5,external_seed:ext_0836525e72365da8ecbcc3b5,lucamarskincare.com,US,Baa Ram Ewe  Lanolin Skin Balm  120g,https://lucamarskincare.com/products/baa-ram-ewe-skin-balm-120-gms,https://agent.pivota.cc/products/sig_a6130a657e5ea0e91dcb4d10,true,brand,false,approved,false,0.98,sig_a6130a657e5ea0e91dcb4d10,pl_65f3a6f4242abbaf57068915,2026-05-25T09:09:06.481Z,2026-05-25T09:08:35.809Z,false,false,true,true,true,false,false,false,false,false,external_seed:ext_0836525e72365da8ecbcc3b5,external_seed:ext_0836525e72365da8ecbcc3b5,false,true,false,false,false,false,false,false,false,
ext_c26547ca63d530592ed62d63,external_seed:ext_c26547ca63d530592ed62d63,lucamarskincare.com,US,Baa Ram Ewe  Lanolin Skin Balm  120g UNSCENTED,https://lucamarskincare.com/products/baa-ram-ewe-lanolin-skin-balm-120g-uncented,https://agent.pivota.cc/products/sig_bb93738e3170cb9abebe3632,true,brand,false,approved,false,0.98,sig_bb93738e3170cb9abebe3632,pl_ad5df8a001e24218344dcaa6,2026-05-25T09:09:06.481Z,2026-05-25T09:08:35.809Z,false,false,true,true,true,false,false,false,false,false,external_seed:ext_c26547ca63d530592ed62d63,external_seed:ext_c26547ca63d530592ed62d63,false,true,false,false,false,false,false,false,false,
