domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,hard_risk,source_gap,quality_flags,canonical_url
aetasofficial.com,Aetās,ext_684249c7a94a1a6f43fdbd77,The Serum,beauty_formula,serving_index_sync,true,false,true,true,60,USD,in_stock,239,true,true,true,false,false,,https://aetasofficial.com/en/products/serum?country=US
baiebotanique.com,Baie Botanique,ext_f11383c339335d64f05a964e,Regenerating Eye Cream,beauty_formula,serving_index_sync,true,false,true,true,44,USD,in_stock,1136,true,true,true,false,false,,https://www.baiebotanique.com/products/regenerating-eye-cream-sns
coconutmatter.com,COCONUT MATTER,ext_fda8be630c6dc79ef599df3c,NOURISHING HAND BALM,beauty_formula,serving_index_sync,true,false,true,true,12,USD,in_stock,373,true,true,true,false,false,,https://coconutmatter.com/products/nourishing-hand-balm
joocyee.com,Joocyee,ext_3ca7c85748b01b4bc8e2f3bb,Color-correcting Primer,beauty_formula,serving_index_sync,true,false,true,false,18.9,USD,in_stock,561,true,true,true,false,false,,https://joocyee.com/products/color-correcting-primer
joocyee.com,Joocyee,ext_794deab047eb4a75225329df,Color-correcting Primer,beauty_formula,serving_index_sync,true,false,true,true,18.9,USD,in_stock,561,true,true,true,false,false,,https://joocyee.com/products/color-correcting-primer
joocyee.com,Joocyee,ext_8bced3f34a8100c3cfa62377,Color-correcting Primer,beauty_formula,serving_index_sync,true,false,true,false,18.9,USD,in_stock,561,true,true,true,false,false,,https://joocyee.com/products/color-correcting-primer
joocyee.com,Joocyee,ext_4fe791cb17f27395a25f91ee,Dual-Ended Eyebrow Pencil & Cream 2.0,beauty_formula,serving_index_sync,true,false,true,true,20.9,USD,in_stock,619,true,true,true,false,false,,https://joocyee.com/products/dual-ended-eyebrow-pencil-cream-2-0
joocyee.com,Joocyee,ext_613e3bbbf834dcce655539b3,Dual-Ended Eyebrow Pencil & Cream 2.0,beauty_formula,serving_index_sync,true,false,true,true,20.9,USD,in_stock,619,true,true,true,false,false,,https://joocyee.com/products/dual-ended-eyebrow-pencil-cream-2-0
joocyee.com,Joocyee,ext_d479efb9a5fafb985e19bd3c,Dual-Ended Eyebrow Pencil & Cream 2.0,beauty_formula,serving_index_sync,true,false,true,true,20.9,USD,in_stock,619,true,true,true,false,false,,https://joocyee.com/products/dual-ended-eyebrow-pencil-cream-2-0
joocyee.com,Joocyee,ext_2881559170714581057e21eb,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_35ffa71281354a958ef30f7e,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_3c9980e0455d648c3173c14e,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_41c98523b6fc0a8279c3095c,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_4888a0d0940daa58fc77af80,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_52a27acd606756dea463a717,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
