seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_92c3e35e793e4bb98743983b,ext_b608b51bc66708d27e81473e,external_seed:ext_b608b51bc66708d27e81473e,US,pixibeauty.com,PIXI BEAUTY,Complexion Collection,https://pixibeauty.com/products/complexion-collection,https://pixibeauty.com/products/complexion-collection,prod::external_seed::external_seed::ext_b608b51bc66708d27e81473e,ck_c2d1136c749d6cba14fda4c66a113013,,true,approved,true,false,brand,sig_987a20e03de9ea2df616afe1,pl_150fb4515cfb61bcc943c760,rf_150fb4515cfb61bcc943c760,true,"""2026-05-22T11:58:51.620Z""",,displayable,true,false,true,reviewed,seller_plus_formula,public_truncated_copy|public_generic_marketing_copy,public_truncated_copy|public_generic_marketing_copy,ext_b608b51bc66708d27e81473e,false,false,ready_hero,active_raw_may_be_full_inci,ready,,true,1,true,true,false,false,true,sellable:sig_987a20e03de9ea2df616afe1,false,missing,52,52,true,false,,kb_blocked,blocking_issues:public_truncated_copy|public_generic_marketing_copy,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_b608b51bc66708d27e81473e --limit 1 --skip-gemini
eps_52e1cf8c178c490ba2317439,ext_ce06dc6cf523109b638508e1,external_seed:ext_ce06dc6cf523109b638508e1,US,pixibeauty.com,PIXI BEAUTY,Ultimate BASE Bundle,https://pixibeauty.com/products/ultimate-base-bundle,https://pixibeauty.com/products/ultimate-base-bundle,prod::external_seed::external_seed::ext_ce06dc6cf523109b638508e1,ck_34470090b81f29ba6db73dc9c6c10eed,,true,approved,true,false,brand,sig_a28c883e8279b6d17b942d25,pl_a43946d01c4de607795f0a12,rf_a43946d01c4de607795f0a12,true,"""2026-05-22T13:25:59.422Z""",,displayable,true,false,true,reviewed,seller_plus_formula,public_truncated_copy|public_generic_marketing_copy,public_truncated_copy|public_generic_marketing_copy,ext_ce06dc6cf523109b638508e1,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_a28c883e8279b6d17b942d25,false,missing,45,45,true,false,,kb_blocked,blocking_issues:public_truncated_copy|public_generic_marketing_copy,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_ce06dc6cf523109b638508e1 --limit 1 --skip-gemini
eps_93d4f8432e574ce980549d74,ext_e36414c7892f92c40d7f6026,external_seed:ext_e36414c7892f92c40d7f6026,US,pixibeauty.com,PIXI BEAUTY,Ultimate Complexion Besties,https://pixibeauty.com/products/ultimate-complexion-besties,https://pixibeauty.com/products/ultimate-complexion-besties,prod::external_seed::external_seed::ext_e36414c7892f92c40d7f6026,ck_63880b58ebfe0aa5dda7cacd709a7f45,,true,approved,true,false,brand,sig_33a36eeeb59a25321186b470,pl_87b832204d1563c9cb37491b,rf_87b832204d1563c9cb37491b,true,"""2026-05-22T13:25:59.423Z""",,displayable,true,false,true,reviewed,seller_plus_formula,public_truncated_copy|public_generic_marketing_copy,public_truncated_copy|public_generic_marketing_copy,ext_e36414c7892f92c40d7f6026,false,false,ready_hero,active_raw_may_be_full_inci,ready,,true,1,true,true,false,false,true,sellable:sig_33a36eeeb59a25321186b470,false,missing,54,54,true,false,,kb_blocked,blocking_issues:public_truncated_copy|public_generic_marketing_copy,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_e36414c7892f92c40d7f6026 --limit 1 --skip-gemini
