domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,duplicate_canonical_identity_review,hard_risk,source_gap,quality_flags,canonical_url
missnella.com,Miss Nella,ext_7394df14e8953abbbc735a3e,Add Strawberry'n'Cream - Red,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/strawberryncream-red
missnella.com,Miss Nella,ext_e4a8b943e473eef365341f36,Add Sugar Hugs - Deep Pink,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/sugar-hugs-deep-pink
missnella.com,Miss Nella,ext_3061ddf912667b725b4e0be0,Add Surprise Party - Black,beauty_formula,hold_source_gap,true,false,false,false,6.49,USD,in_stock,108,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/class-clown-red-copy
missnella.com,Miss Nella,ext_7f3fcd8b1ea9a9c48026e3ff,Lav Kids by Miss Nella Moisturising Leave In Conditioner 100ml,beauty_formula,hold_source_gap,true,false,false,true,5.45,USD,in_stock,345,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-by-miss-nella-moisturising-leave-in-conditioner
missnella.com,Miss Nella,ext_0389cd34ac2b199ed7d155fd,Lav Kids Skincare by Miss Nella Facial Foaming Cleanser 100ml,beauty_formula,hold_source_gap,true,false,false,true,5.91,USD,in_stock,304,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-skincare-by-miss-nella-facial-foaming-cleanser-100ml
missnella.com,Miss Nella,ext_c954d06d813f8162e2f104c7,Lav Kids Skincare by Miss Nella Foaming Shower Gel 200ml,beauty_formula,hold_source_gap,true,false,false,true,5.45,USD,in_stock,297,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-skincare-by-miss-nella-foaming-shower-gel-200ml
missnella.com,Miss Nella,ext_d4cd4e83ffea1be996dc5655,Lav Kids Skincare by Miss Nella Gentle Care Conditioner 200ml,beauty_formula,hold_source_gap,true,false,false,true,4.55,USD,in_stock,437,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-skincare-by-miss-nella-gentle-care-conditioner-200ml
missnella.com,Miss Nella,ext_18c788834195be4e0022a2c3,Lav Kids Skincare by Miss Nella Gentle Care Shampoo 215ml,beauty_formula,hold_source_gap,true,false,false,true,4.55,USD,in_stock,240,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-skincare-by-miss-nella-gentle-care-shampoo-200ml
missnella.com,Miss Nella,ext_8d2decaa8a177bd033597c3e,Lav Kids Skincare by Miss Nella Gentle Care Shampoo 280ml,beauty_formula,hold_source_gap,true,false,false,true,6.35,USD,in_stock,240,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lav-kids-skincare-by-miss-nella-gentle-care-shampoo-280ml
missnella.com,Miss Nella,ext_bede5d7b6beac13274e28b6a,Lav Kids Skincare by Miss Nella Moisturising Lip Butter,beauty_formula,hold_source_gap,true,false,false,true,2.25,USD,in_stock,298,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lavkids-skincare-by-miss-nella-moisturising-lip-butter
missnella.com,Miss Nella,ext_bba56c29b8209bcefce46fcb,Lav Teens Let’s Clay! Face Mask,beauty_formula,hold_source_gap,true,false,false,true,7.2,USD,in_stock,280,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/lav-teens-let-s-clay-face-mask
missnella.com,Miss Nella,ext_20c5bace62df3979a457e400,MN04 Little Poppet: Purple Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn04-little-poppet-3-pack
missnella.com,Miss Nella,ext_e49b7fd12614986b2704234d,MN05 Cheeky Bunny: Light Pink Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn05-cheeky-bunny-3-pack
missnella.com,Miss Nella,ext_005253c847ab00c7b62073c3,MN06 Butterfly Wings: Glittery Lilac Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn06-butterfly-wings-3-pack
missnella.com,Miss Nella,ext_c8d0cd315ef174ac864811bf,MN11 Sweet Lavender: Deep Violet Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn11-sweet-lavender-3-pack
missnella.com,Miss Nella,ext_443317ae78fcdee9271e4efa,MN13 Sun Kissed: Yellow Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn13-sun-kissed-3-pack
missnella.com,Miss Nella,ext_45eb20f9189ad6fc2ca06c2a,MN32 Blueberry Smoothie: Pastel Purple Peel Off Nail Polish,beauty_formula,hold_source_gap,true,false,false,true,2.65,USD,in_stock,416,true,false,false,false,false,true,missing_full_inci|missing_how_to,https://www.missnella.com/products/mn32-blueberry-smoothie-3-pack
