seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_5937cd4f78754b4bbda7c4e6,ext_86c02b71c4f8576cafdea079,external_seed:ext_86c02b71c4f8576cafdea079,US,theordinary.com,the ordinary,The Face & Body Set,https://theordinary.com/en-us/the-face-and-body-gift-set-100729.html,https://theordinary.com/en-us/the-face-and-body-gift-set-100729.html,prod::external_seed::external_seed::ext_86c02b71c4f8576cafdea079,ck_8d2bca17488891792b8b5b30c85b508c,,true,approved,true,false,brand,sig_a5e731c5b70a8b79cf1fbdde,pl_3e55af83ed7246d8aa8f21f1,rf_3e55af83ed7246d8aa8f21f1,true,"""2026-04-11T10:29:59.817Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_86c02b71c4f8576cafdea079,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_a5e731c5b70a8b79cf1fbdde,false,missing,19,19,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_86c02b71c4f8576cafdea079 --limit 1 --skip-gemini
eps_7e121e53e9e940f29da816fd,ext_40d86163d7cbfc82039b5a24,external_seed:ext_40d86163d7cbfc82039b5a24,US,theordinary.com,the ordinary,The Mini Icons Set,https://theordinary.com/en-us/the-mini-icons-skincare-set-100679.html,https://theordinary.com/en-us/the-mini-icons-skincare-set-100679.html,prod::external_seed::external_seed::ext_40d86163d7cbfc82039b5a24,ck_1581284b705edf37b1d0732b7660ebb5,,true,approved,true,false,brand,sig_cb1bab0b0c2c552c9a92a051,pl_204be324a1dc815b85b1d986,rf_204be324a1dc815b85b1d986,true,"""2026-04-11T10:26:45.146Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_40d86163d7cbfc82039b5a24,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_cb1bab0b0c2c552c9a92a051,false,missing,19.9,19.9,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_40d86163d7cbfc82039b5a24 --limit 1 --skip-gemini
eps_939d6787450d42cfbf173722,ext_b23ef7c54e22270375fd7b4e,external_seed:ext_b23ef7c54e22270375fd7b4e,US,theordinary.com,the ordinary,The Bright Set,https://theordinary.com/en-us/the-bright-set-100664.html,https://theordinary.com/en-us/the-bright-set-100664.html,prod::external_seed::external_seed::ext_b23ef7c54e22270375fd7b4e,ck_52dd1bbe84c9a1c44126626805010d40,,true,approved,true,false,brand,sig_fddc945e1d5e659f292f0cbb,pl_4ec4e8c5368948a1f2fc0fd5,rf_4ec4e8c5368948a1f2fc0fd5,true,"""2026-04-11T10:26:45.146Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_b23ef7c54e22270375fd7b4e,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_fddc945e1d5e659f292f0cbb,false,missing,18.33,18.33,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_b23ef7c54e22270375fd7b4e --limit 1 --skip-gemini
eps_871909a3486c40498cb53a13,ext_83513127a7a7cac50726b5cd,external_seed:ext_83513127a7a7cac50726b5cd,US,theordinary.com,the ordinary,Soothing & Barrier Support Serum Set,https://theordinary.com/en-us/soothing-barrier-support-serum-gift-set-100736.html,https://theordinary.com/en-us/soothing-barrier-support-serum-gift-set-100736.html,prod::external_seed::external_seed::ext_83513127a7a7cac50726b5cd,ck_db65b72f0522d239382b1ae8569cb09b,,true,approved,true,false,brand,sig_f8ec53fd4f2898c780ccbb76,pl_d629dc306c330ff89ce7428b,rf_d629dc306c330ff89ce7428b,true,"""2026-04-11T10:26:45.146Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_83513127a7a7cac50726b5cd,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_f8ec53fd4f2898c780ccbb76,false,missing,7.31,7.31,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_83513127a7a7cac50726b5cd --limit 1 --skip-gemini
eps_a87902f71b5c467fad6bf1b5,ext_a7d1193f64e8e78bf1ef9741,external_seed:ext_a7d1193f64e8e78bf1ef9741,US,theordinary.com,the ordinary,The Mini Discovery Set,https://theordinary.com/en-us/the-mini-discovery-set-100680.html,https://theordinary.com/en-us/the-mini-discovery-set-100680.html,prod::external_seed::external_seed::ext_a7d1193f64e8e78bf1ef9741,ck_5d3872c3c1dccb5bb5db468f5b4772ae,,true,approved,true,false,brand,sig_d335ce798d12d64727c1493c,pl_8c229f8967fd4d5507b6b0e9,rf_8c229f8967fd4d5507b6b0e9,true,"""2026-04-11T10:26:45.146Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_a7d1193f64e8e78bf1ef9741,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_d335ce798d12d64727c1493c,false,missing,22.41,22.41,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_a7d1193f64e8e78bf1ef9741 --limit 1 --skip-gemini
eps_c4ffcbece687490ab65654c3,ext_3ddd25b09118f4eb30df093a,external_seed:ext_3ddd25b09118f4eb30df093a,US,theordinary.com,the ordinary,The Multi-Peptide Collection,https://theordinary.com/en-us/the-multi-peptide-collection-200130.html,https://theordinary.com/en-us/the-multi-peptide-collection-200130.html,prod::external_seed::external_seed::ext_3ddd25b09118f4eb30df093a,ck_399737c7b0d5df942c532efca4d1b945,,true,approved,true,false,brand,sig_ddacbb74757f89d1a564d7c8,pl_40a26a1466ea80c600c066ba,rf_40a26a1466ea80c600c066ba,true,"""2026-04-11T10:23:18.527Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_3ddd25b09118f4eb30df093a,false,false,not_applicable_product_family,,no_visible_variant_axis,,true,1,true,true,false,false,true,sellable:sig_ddacbb74757f89d1a564d7c8,false,missing,44.9,44.9,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_3ddd25b09118f4eb30df093a --limit 1 --skip-gemini
eps_add616d9019b481da5b35e7b,ext_fd447e3ddace65210a62d6e1,external_seed:ext_fd447e3ddace65210a62d6e1,US,theordinary.com,the ordinary,The Daily Set,https://theordinary.com/en-us/the-daily-set-100649.html,https://theordinary.com/en-us/the-daily-set-100649.html,prod::external_seed::external_seed::ext_fd447e3ddace65210a62d6e1,ck_ea9e29c157abb8ba79519d7b49286bbb,,true,approved,true,false,brand,sig_414cc90f9f60baf858349d97,pl_4944530f950535e71125fcf0,rf_4944530f950535e71125fcf0,true,"""2026-04-11T10:26:45.146Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_fd447e3ddace65210a62d6e1,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_414cc90f9f60baf858349d97,false,missing,16.71,16.71,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_fd447e3ddace65210a62d6e1 --limit 1 --skip-gemini
eps_f302bd9639c14551b5d40a08,ext_906f8e7c7685d563a502787b,external_seed:ext_906f8e7c7685d563a502787b,US,theordinary.com,the ordinary,The Age Support Set,https://theordinary.com/en-us/the-age-support-set-100719.html,https://theordinary.com/en-us/the-age-support-set-100719.html,prod::external_seed::external_seed::ext_906f8e7c7685d563a502787b,ck_ba222157c6461b33331141f7223399f1,,true,approved,true,false,brand,sig_ebddc666cfa8ed444ba42420,pl_963ba6b43f758010cecd0be5,rf_963ba6b43f758010cecd0be5,true,"""2026-04-11T10:23:18.527Z""",,not_displayable,false,false,false,limited,seller_only,not_reviewed|not_displayable_gate|missing_card_highlight|empty_watchouts|quality_limited|seller_only_evidence,not_reviewed|not_displayable_gate|missing_card_highlight,ext_906f8e7c7685d563a502787b,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_ebddc666cfa8ed444ba42420,false,missing,33,33,true,false,,kb_blocked,blocking_issues:not_reviewed|not_displayable_gate|missing_card_highlight,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_906f8e7c7685d563a502787b --limit 1 --skip-gemini
