external_product_id,title,pdp_url,canonical_url,seed_has_active_evidence,identity_payload_has_active_evidence,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed
ext_cdf12a2412e34e43b3ab9232,Dewtopia 5% Acid Firming Night Crème,https://agent.pivota.cc/products/sig_11309e1c9f18c101be103b78,https://olehenriksen.com/products/dewtopia-5-acid-firming-night-cream,true,true,false,false,false,false,true,true,true
ext_3221a074fcd0a5b3d9a32f2d,Peach Glaze Glow Mist,https://agent.pivota.cc/products/sig_20487d5b07261ec3bfb2cc66,https://olehenriksen.com/products/peach-glaze-glow-mist,false,true,false,false,false,false,true,true,true
ext_0910c5ee09219dc2a59ccb1d,Lemonade Smoothing Scrub,https://agent.pivota.cc/products/sig_d2080945d690048e2750e642,https://olehenriksen.com/products/lemonade-smoothing-scrub,false,false,false,false,false,false,true,true,true
ext_123d26f91740b0e100715451,Pout Preserve Peptide Lip Treatment Glimmers,https://agent.pivota.cc/products/sig_934be7b33d4ab774c669b294,https://olehenriksen.com/products/glimmer-pout-preserve-peptide-lip-treatment,true,true,false,false,false,false,true,true,true
ext_d711519e2337ab545c05a005,Pout Preserve Peptide Lip Treatment Grape Fizz,https://agent.pivota.cc/products/sig_da685f11e464e560af5da957,https://olehenriksen.com/products/pout-preserve-peptide-lip-treatment-grape-fizz,false,false,false,false,true,false,false,true,true
ext_6c540ac96c2c1ab33f1af31d,Banana Bright+ Vitamin CC Stick,https://agent.pivota.cc/products/sig_40104d3f0b42a80bc96c9894,https://olehenriksen.com/products/banana-bright-vitamin-cc-stick,false,false,false,false,true,false,false,true,true
ext_918981bcc6d552cc2af0b535,Banana Bright+ Eye Crème,https://agent.pivota.cc/products/sig_919e963e7d7a740f5f496e87,https://olehenriksen.com/products/banana-bright-eye-creme,false,false,false,false,true,false,false,true,true
ext_2d5176c8edd52a0c49a1ab55,Truth Juice Daily Cleanser,https://agent.pivota.cc/products/sig_f5cc58de1c738a2a17dab564,https://olehenriksen.com/products/truth-juice-daily-cleanser,false,true,false,false,true,false,false,true,true
ext_62a2014411830d70f71baac3,Banana Bright 15% Vitamin C Dark Spot Serum,https://agent.pivota.cc/products/sig_d0025f46b17807a8b55f5224,https://olehenriksen.com/products/banana-bright-vitamin-c-serum,true,true,false,false,true,false,false,true,true
ext_301201d04c48df948c0eacdc,Barrier Booster Orange Ferment Vitamin C Essence,https://agent.pivota.cc/products/sig_e1d3cf060d0c37ec75787eef,https://olehenriksen.com/products/barrier-booster-orange-ferment-vitamin-c-essence,true,true,false,false,true,false,false,true,true
