seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_7170deb149fb49f8a36737dc,ext_1e20d9aa6fe78b783fddf311,external_seed:ext_1e20d9aa6fe78b783fddf311,US,www.jurlique.com,Jurlique,Herbal Recovery Duo,https://www.jurlique.com/products/herbal-recovery-duo,https://www.jurlique.com/products/herbal-recovery-duo,prod::external_seed::external_seed::ext_1e20d9aa6fe78b783fddf311,ck_25f405363bb634344f2fd24ed7b144fc,,true,approved,true,false,brand,sig_71208fddc56f43c805e8647b,pl_cd28d8d7b849bd745a3d2dc6,rf_cd28d8d7b849bd745a3d2dc6,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_1e20d9aa6fe78b783fddf311,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_71208fddc56f43c805e8647b,false,missing,136,136,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_1e20d9aa6fe78b783fddf311 --limit 1 --skip-gemini
eps_9b3bd5d4789c44ab88d90c98,ext_63ac501ca2ee5eb62b04dc41,external_seed:ext_63ac501ca2ee5eb62b04dc41,US,www.jurlique.com,Jurlique,8+2 Firm & Hydrate Duo,https://www.jurlique.com/products/8-2-firm-hydrate-duo,https://www.jurlique.com/products/8-2-firm-hydrate-duo,prod::external_seed::external_seed::ext_63ac501ca2ee5eb62b04dc41,ck_0044b783efce2bdd8ef9e279084a86c2,,true,approved,true,false,brand,sig_340a594830b6bfe99a56e9d2,pl_cbef72af6b7b6d2af0b0185c,rf_cbef72af6b7b6d2af0b0185c,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_63ac501ca2ee5eb62b04dc41,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_340a594830b6bfe99a56e9d2,false,missing,125,125,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_63ac501ca2ee5eb62b04dc41 --limit 1 --skip-gemini
eps_b0307b56eeb742e09b6d43f5,ext_a4457d05bf56f811a88becf3,external_seed:ext_a4457d05bf56f811a88becf3,US,www.jurlique.com,Jurlique,Perfect Prep Duo,https://www.jurlique.com/products/perfect-prep-duo,https://www.jurlique.com/products/perfect-prep-duo,prod::external_seed::external_seed::ext_a4457d05bf56f811a88becf3,ck_6856f8967629a7033acfbaf904e5383b,,true,approved,true,false,brand,sig_2558cecdc6702ec92f6f2229,pl_b3936a158758a2b7c67860fc,rf_b3936a158758a2b7c67860fc,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_a4457d05bf56f811a88becf3,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_2558cecdc6702ec92f6f2229,false,missing,75,75,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_a4457d05bf56f811a88becf3 --limit 1 --skip-gemini
eps_d255bf5140994944b9b08f72,ext_b0f9384195c88efc4aa0114e,external_seed:ext_b0f9384195c88efc4aa0114e,US,www.jurlique.com,Jurlique,Iconic Duo Bundle,https://www.jurlique.com/products/iconic-duo-bundle,https://www.jurlique.com/products/iconic-duo-bundle,prod::external_seed::external_seed::ext_b0f9384195c88efc4aa0114e,ck_a3744fe3b2c77a3ba15d5303023f018d,,true,approved,true,false,brand,sig_8e8c59ac4e5adb7026b88cd2,pl_54f3af29dbcca28c3a92f3d8,rf_54f3af29dbcca28c3a92f3d8,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_b0f9384195c88efc4aa0114e,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_8e8c59ac4e5adb7026b88cd2,false,missing,170,170,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_b0f9384195c88efc4aa0114e --limit 1 --skip-gemini
eps_da736120dad64addae857d0c,ext_59d1d0f9b80d3ad401ad4862,external_seed:ext_59d1d0f9b80d3ad401ad4862,US,www.jurlique.com,Jurlique,Rejuvenating Duo,https://www.jurlique.com/products/rejuvenating-duo,https://www.jurlique.com/products/rejuvenating-duo,prod::external_seed::external_seed::ext_59d1d0f9b80d3ad401ad4862,ck_cad31af2e3bb1efaaa956d76a49999d6,,true,approved,true,false,brand,sig_9737bf95405dfa1fc19217e7,pl_bfaab2ddda6bf0daa984dc2e,rf_bfaab2ddda6bf0daa984dc2e,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_59d1d0f9b80d3ad401ad4862,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_9737bf95405dfa1fc19217e7,false,missing,200,200,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_59d1d0f9b80d3ad401ad4862 --limit 1 --skip-gemini
eps_ff8dceb3748740dcbcfa2dd2,ext_4da676febaab206c32ffac68,external_seed:ext_4da676febaab206c32ffac68,US,www.jurlique.com,Jurlique,Soft Hand & Body Bundle,https://www.jurlique.com/products/soft-hand-body-bundle,https://www.jurlique.com/products/soft-hand-body-bundle,prod::external_seed::external_seed::ext_4da676febaab206c32ffac68,ck_ab96df68856d4073656df1e8adbe4c91,,true,approved,true,false,brand,sig_58f9922f7393a278db105a87,pl_780efffbc2e72a2ad8631968,rf_780efffbc2e72a2ad8631968,true,"""2026-04-24T23:34:07.382Z""",,not_displayable,false,false,true,eligible,seller_plus_formula,reviewed_not_displayable|quality_eligible,reviewed_not_displayable,ext_4da676febaab206c32ffac68,false,false,not_applicable_product_family,,ready,,true,1,true,true,false,false,true,sellable:sig_58f9922f7393a278db105a87,false,missing,100,100,true,false,,kb_blocked,blocking_issues:reviewed_not_displayable,lane_3_kb_rewrite_review,node scripts/pivota_insights_coverage_batch.js --product-ids ext_4da676febaab206c32ffac68 --limit 1 --skip-gemini
