external_product_id,source_listing_ref,domain,market,title,canonical_url,pdp_url,identity_payload_stale,canonical_selection_gap,audit_scope_mismatch,gained_active_evidence,gained_ingredients,gained_how_to,gained_details,gained_content_images,contract_changed,field_quality_changed
ext_0593d410360b6e8cebbed23e,external_seed:ext_0593d410360b6e8cebbed23e,roundlab.com,US,1025 Dokdo Ampoule,https://roundlab.com/products/1025-dokdo-ampoule,https://agent.pivota.cc/products/sig_f9ef73632356ecb1702fa2ab,true,true,false,true,true,true,true,false,false,false
ext_1ee358db8a0a348d940541ea,external_seed:ext_1ee358db8a0a348d940541ea,roundlab.com,US,1025 Dokdo Cleanser,https://roundlab.com/products/1025-dokdo-cleanser,https://agent.pivota.cc/products/sig_6c69e843f4af13d70076c743,true,true,false,true,true,true,true,true,false,false
ext_d356903af461a19a1396067e,external_seed:ext_d356903af461a19a1396067e,roundlab.com,US,1025 Dokdo Cleansing Oil,https://roundlab.com/products/1025-dokdo-cleansing-oil,https://agent.pivota.cc/products/sig_c8e5f67fb370f0bf29068187,true,true,false,true,true,true,true,true,false,false
ext_624a12ac9aec83ba278950e0,external_seed:ext_624a12ac9aec83ba278950e0,roundlab.com,US,1025 Dokdo Cream,https://roundlab.com/products/1025-dokdo-cream,https://agent.pivota.cc/products/sig_75b1213dd259bdacaa19f48a,true,true,false,true,true,true,true,false,false,false
ext_52db83881b3497c1f1165248,external_seed:ext_52db83881b3497c1f1165248,roundlab.com,US,1025 Dokdo Lotion,https://roundlab.com/products/1025-dokdo-lotion,https://agent.pivota.cc/products/sig_0e8531ace326a9795c68b4b2,true,true,false,true,true,true,true,true,false,false
ext_94efe3f4b07d340ca39eb3c0,external_seed:ext_94efe3f4b07d340ca39eb3c0,roundlab.com,US,1025 Dokdo Mud Pack,https://roundlab.com/products/1025-dokdo-mud-pack,https://agent.pivota.cc/products/sig_7462e3a7a2880efe37517314,true,true,false,true,true,true,true,true,false,false
ext_39ee239fdd7cae5736d9d3e7,external_seed:ext_39ee239fdd7cae5736d9d3e7,roundlab.com,US,1025 Dokdo Sleeping Pack,https://roundlab.com/products/1025-dokdo-sleeping-pack,https://agent.pivota.cc/products/sig_9e60c4c44eaeefb21f9e1d29,true,true,false,true,true,true,true,false,false,false
ext_8f57ee8b842f3dcd53f8a13b,external_seed:ext_8f57ee8b842f3dcd53f8a13b,roundlab.com,US,1025 Dokdo Toner,https://roundlab.com/products/1025-dokdo-toner,https://agent.pivota.cc/products/sig_1b4d781283f82291599c4843,true,true,false,true,true,true,true,true,false,false
ext_165050d194f3c456a7b9c32c,external_seed:ext_165050d194f3c456a7b9c32c,roundlab.com,US,1025 Dokdo Water Gel Mask Sheet,https://roundlab.com/products/1025-dokdo-mask-sheet,https://agent.pivota.cc/products/sig_1c6c3850764e4a8629602b92,true,true,false,true,true,true,true,true,false,false
ext_430d2c9748b87d038314f374,external_seed:ext_430d2c9748b87d038314f374,roundlab.com,US,Birch Juice Cleansing Pad,https://roundlab.com/products/birch-juice-cleansing-pad,https://agent.pivota.cc/products/sig_8035b1716fe764fba33d3eb9,true,true,false,true,true,true,true,false,false,false
ext_d9ba295c3cd40caa60aa856e,external_seed:ext_d9ba295c3cd40caa60aa856e,roundlab.com,US,Birch Juice Moisturizing Ampoule,https://roundlab.com/products/birch-juice-ampoule,https://agent.pivota.cc/products/sig_665f8b8dbfb110b56df32315,true,true,false,true,true,true,true,false,false,false
ext_ebbcb7f9ccbf20c656808ac4,external_seed:ext_ebbcb7f9ccbf20c656808ac4,roundlab.com,US,Birch Mild-Up Sunscreen UVLock SPF 50+ Broad Spectrum,https://roundlab.com/products/birch-juice-mild-up-uvlock-sunscreen,https://agent.pivota.cc/products/sig_2c007c2ba76d63995059aa50,true,true,false,true,false,true,true,false,false,false
