source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,decode_ext,decode_magic,decode_error_code,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
internal,internal,local,abd050e557398ddfe833,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,ec9ee489fb60cf362b3a,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,00c433c58cbca9b326c6,true,,,.jpg,jpg,,ok,,200,fail,7,136,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,QUALITY_GATED,,
internal,internal,local,eaacf8df1f955dfe7fea,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.034,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,97c18f872fe4d7901413,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.06,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,47f090ddb118aa71740e,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,c6e0b8e591c13553051b,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,d5028a5fda1c616936a9,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.034,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,cad5538cd834b73c8d2a,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,5b870d064405f03b3793,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,db9c9a65ca745d046584,true,,,.jpg,jpg,,ok,,200,fail,7,136,0,,0.195,,,,0.096,0,0.197,0,0,0,false,false,,,0.394,QUALITY_GATED,,
internal,internal,local,23aae3c3e7ff06de323b,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,6903a08035fabdadc606,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.051,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,08345d3670efbb54853a,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.027,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,12b9f97c30dd20df1729,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,d74bff5edd9a03a256dc,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.06,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,76b0604c27065237198a,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.051,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,23d2a016046f97144461,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,c1c8d71be8c35385c9eb,true,,,.jpg,jpg,,ok,,200,degraded,7,13,0,,0.026,,,,0,0,0,0,0,0,false,false,,,0.5,,,
internal,internal,local,b9e4ec31b770abab8840,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
internal,internal,local,3eb8ce9ab179c785b22b,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,heic_decode_failed,,,0,,0,0,1,,,,,,,,,,,,false,false,,,1.5,,,heic_decode_failed
fasseg,fasseg,fasseg_eval,d80d5cd03bb228f506d5,true,,,,,,,,200,degraded,7,204,0,0.018,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,cab735e532536a523369,true,,,,,,,,200,degraded,7,204,0,0.019,,0.007,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,7726c9e29daea05a418d,true,,,,,,,,200,degraded,7,204,0,0.006,,0.001,0.01,0,,,,,,,false,false,true,true,0.01,,,
fasseg,fasseg,fasseg_eval,33efd9c0b8510abc9f9e,true,,,,,,,,200,fail,7,2172,0,0.107,,0.012,0.398,0.042,,,,,,,false,false,true,true,0.398,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,f3347367324892256656,true,,,,,,,,200,degraded,7,204,0,0.034,,0.004,0.078,0.026,,,,,,,false,false,true,true,0.078,,,
fasseg,fasseg,fasseg_eval,cdbfbfae36b4ccee2d88,true,,,,,,,,200,fail,7,2172,0,0.294,,0.001,0.396,0.916,,,,,,,false,false,true,true,0.916,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,e27f54d36eecbaf60010,true,,,,,,,,200,degraded,7,204,0,0.015,,0.003,0.01,0,,,,,,,false,false,true,true,0.01,,,
fasseg,fasseg,fasseg_eval,bda462665c5788f9deb6,true,,,,,,,,200,degraded,7,204,0,0.029,,0.004,0,0,,,,,,,false,false,true,true,0,,,
