source,dataset,sample_hash,ok,fail_reason,reason_detail,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
internal,internal,23aae3c3e7ff06de323b,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,6903a08035fabdadc606,false,NO_PHOTO_MODULES_CARD,,200,,0,0,1,,,,,false,false,,,3.5,,,
internal,internal,08345d3670efbb54853a,false,NO_PHOTO_MODULES_CARD,,200,,0,0,1,,,,,false,false,,,3.5,,,
internal,internal,12b9f97c30dd20df1729,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,d74bff5edd9a03a256dc,false,NO_PHOTO_MODULES_CARD,,200,,0,0,1,,,,,false,false,,,3.5,,,
internal,internal,76b0604c27065237198a,false,NO_PHOTO_MODULES_CARD,,200,,0,0,1,,,,,false,false,,,3.5,,,
internal,internal,23d2a016046f97144461,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,c1c8d71be8c35385c9eb,false,NO_PHOTO_MODULES_CARD,,200,,0,0,1,,,,,false,false,,,3.5,,,
internal,internal,b9e4ec31b770abab8840,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,3eb8ce9ab179c785b22b,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
fasseg,fasseg,d80d5cd03bb228f506d5,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,cab735e532536a523369,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,7726c9e29daea05a418d,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,33efd9c0b8510abc9f9e,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,f3347367324892256656,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,cdbfbfae36b4ccee2d88,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,e27f54d36eecbaf60010,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,bda462665c5788f9deb6,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,685010ca2b4790d0c91d,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,d781618b694b6938f683,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,a9ec668e665554446caf,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,96bcf2836631ce97bfea,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,5fe90faa854804d68851,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
