source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
internal,internal,local,2be889b510c1a38033ba,true,,,ok,,200,fail,7,136,0,0.195,,0.096,0,true,false,,,3.39,QUALITY_GATED,,
internal,internal,local,9a401e18a8c6665aa359,true,,,ok,,200,degraded,7,13,0,0.06,,0,0,false,false,,,2.12,,,
internal,internal,local,95f09bee0971c6fdf362,true,,,ok,,200,fail,7,136,0,0.195,,0.096,0,true,false,,,3.39,QUALITY_GATED,,
internal,internal,,8e4bf9aa88dbd4553991,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,,8cd1ee0d8dc68491634a,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,,2871d635fb37917ea807,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,local,81001ae2d5107a11d62a,true,,,ok,,200,degraded,7,13,0,0.026,,0,0,false,false,,,2.052,,,
internal,internal,local,c8e73ea498afad2b050a,true,,,ok,,200,fail,7,136,0,0.195,,0.096,0,true,false,,,3.39,QUALITY_GATED,,
internal,internal,local,67efbf2f8e6af895ad60,true,,,ok,,200,degraded,7,13,0,0,,0,0,false,false,,,2,,,
internal,internal,,c5d245f50002c91cc625,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,local,80efd4f0a208572eeda6,true,,,ok,,200,degraded,7,13,0,0.035,,0,0,false,false,,,2.07,,,
internal,internal,local,1a421d3b67d230413d7d,true,,,ok,,200,degraded,7,13,0,0.051,,0,0,false,false,,,2.102,,,
internal,internal,local,2cde5c68a939ead990c9,true,,,ok,,200,degraded,7,13,0,0.009,,0,0,false,false,,,2.018,,,
internal,internal,local,db096233b1a2b8103ace,true,,,ok,,200,degraded,7,13,0,0.052,,0,0,false,false,,,2.104,,,
internal,internal,local,cba6ee8b0ed946b9fc84,true,,,ok,,200,degraded,7,13,0,0.06,,0,0,false,false,,,2.12,,,
internal,internal,,ecfa32a6675cb0ca4e9d,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
internal,internal,local,eda446ab5b3d5777d756,true,,,ok,,200,degraded,7,13,0,0.001,,0,0,false,false,,,2.002,,,
internal,internal,,517b94818932b53000a6,false,SAMPLE_LOAD_FAIL,DECODE_FAIL,,,0,,0,0,1,,,,,false,false,,,3.5,,,heic_decode_failed
