domain,seed_rows,actionable_seed_rows,db_serving_ready,db_serving_ready_rate,actionable_db_serving_ready_rate,public_index_ready,public_index_ready_rate,external_index_published,commerce_public_docs,commerce_public_doc_groups,direct_kb_high_quality_ready,direct_kb_displayable,identity_ready,terminal_hold,seed_content_blocked,identity_blocked,kb_missing,kb_blocked,kb_displayable_limited,index_doc_shadow_only,top_blocker
missnella.com,52,50,2,0.0385,0.04,2,0.0385,0,2,2,52,52,4,2,0,48,0,0,0,0,identity_blocked
kyliecosmetics.com,16,16,15,0.9375,0.9375,15,0.9375,0,16,16,16,16,16,0,1,0,0,0,0,0,seed_content_blocked
us.nuxe.com,5,5,4,0.8,0.8,4,0.8,0,4,4,5,5,4,0,1,0,0,0,0,0,seed_content_blocked
intoyoucosmetics.com,3,3,3,1,1,3,1,0,3,3,3,3,3,0,0,0,0,0,0,0,ready_no_action
catkin.com,2,2,2,1,1,2,1,0,2,2,2,2,2,0,0,0,0,0,0,0,ready_no_action
fentybeauty.com,2,1,1,0.5,1,1,0.5,0,1,1,2,2,1,1,0,0,0,0,0,0,terminal_hold
rarebeauty.com,2,2,2,1,1,2,1,0,2,2,2,2,2,0,0,0,0,0,0,0,ready_no_action
tirtir.global,2,1,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,identity_blocked
pixibeauty.com,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,terminal_hold
