external_product_id,title,domain,action,lane,reason,main_blocker,recommended_lane,kb_status,kb_quality_state,kb_evidence_profile,identity_status,catalog_attached,index_serving_eligible,commerce_doc_public,terminal_hold,terminal_hold_reason,seed_missing_fields
ext_8b6bcbe031a743c1e607aa6a,Triple Shine Grape,ownist.com,hold,seed_commerce_or_content_gap,seed_missing_fields:category,seed_content_blocked,lane_2_seed_commerce_facts,missing_kb,missing,missing,approved,true,true,true,false,,category
ext_52e9fce8bee97af26d6f77db,Triple Collagen Orange,ownist.com,hold,seed_commerce_or_content_gap,seed_missing_fields:category,seed_content_blocked,lane_2_seed_commerce_facts,missing_kb,missing,missing,approved,true,true,true,false,,category
ext_3dab0df3312e80e8dac97452,Triple Shine Garden edition,ownist.com,hold,seed_commerce_or_content_gap,seed_missing_fields:category,seed_content_blocked,lane_2_seed_commerce_facts,missing_kb,missing,missing,approved,true,true,true,false,,category
ext_3b2f5eaa044e309bf442a047,Triple Collagen Garden edition,ownist.com,hold,seed_commerce_or_content_gap,seed_missing_fields:category,seed_content_blocked,lane_2_seed_commerce_facts,missing_kb,missing,missing,approved,true,true,true,false,,category
